                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         43.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -1964.05945
        Step              PE              KE                TE 
       446         -1972.05151         413.13075       -1558.92077
       447         -1972.05947         413.13871       -1558.92076
       448         -1972.06819         413.14743       -1558.92077
       449         -1972.07766         413.15689       -1558.92077
       450         -1972.08789         413.16713       -1558.92076
       451         -1972.09890         413.17813       -1558.92077
       452         -1972.11065         413.18988       -1558.92078
       453         -1972.12313         413.20235       -1558.92077
       454         -1972.13631         413.21554       -1558.92078
       455         -1972.15018         413.22940       -1558.92078
       456         -1972.16468         413.24391       -1558.92077
       457         -1972.17979         413.25902       -1558.92078
       458         -1972.19547         413.27468       -1558.92079
       459         -1972.21165         413.29085       -1558.92080
       460         -1972.22827         413.30748       -1558.92080
       461         -1972.24528         413.32448       -1558.92080
       462         -1972.26262         413.34182       -1558.92080
       463         -1972.28023         413.35942       -1558.92081
       464         -1972.29802         413.37721       -1558.92082
       465         -1972.31593         413.39511       -1558.92082
       466         -1972.33388         413.41305       -1558.92083
       467         -1972.35178         413.43094       -1558.92084
       468         -1972.36952         413.44868       -1558.92085
       469         -1972.38702         413.46617       -1558.92085
       470         -1972.40419         413.48334       -1558.92085
       471         -1972.42094         413.50008       -1558.92086
       472         -1972.43717         413.51631       -1558.92086
       473         -1972.45280         413.53192       -1558.92087
       474         -1972.46770         413.54682       -1558.92088
       475         -1972.48178         413.56089       -1558.92089
       476         -1972.49491         413.57402       -1558.92090
       477         -1972.50701         413.58612       -1558.92089
       478         -1972.51799         413.59710       -1558.92089
       479         -1972.52773         413.60684       -1558.92089
       480         -1972.53614         413.61524       -1558.92090
       481         -1972.54312         413.62222       -1558.92090
       482         -1972.54857         413.62767       -1558.92090
       483         -1972.55239         413.63148       -1558.92091
       484         -1972.55448         413.63356       -1558.92092
       485         -1972.55476         413.63384       -1558.92092
       486         -1972.55317         413.63225       -1558.92092
       487         -1972.54965         413.62871       -1558.92093
       488         -1972.54411         413.62317       -1558.92094
       489         -1972.53647         413.61553       -1558.92094
       490         -1972.52668         413.60574       -1558.92094
       491         -1972.51467         413.59372       -1558.92095
       492         -1972.50037         413.57943       -1558.92094
       493         -1972.48376         413.56282       -1558.92094
       494         -1972.46479         413.54384       -1558.92095
       495         -1972.44338         413.52242       -1558.92095
       496         -1972.41947         413.49851       -1558.92096
       497         -1972.39307         413.47211       -1558.92096
       498         -1972.36414         413.44318       -1558.92096
       499         -1972.33264         413.41169       -1558.92096
       500         -1972.29859         413.37763       -1558.92096
       501         -1972.26195         413.34099       -1558.92096
       502         -1972.22270         413.30174       -1558.92096
       503         -1972.18083         413.25987       -1558.92096
       504         -1972.13634         413.21537       -1558.92097
       505         -1972.08921         413.16824       -1558.92097
       506         -1972.03946         413.11849       -1558.92097
       507         -1971.98707         413.06610       -1558.92097
       508         -1971.93205         413.01108       -1558.92097
       509         -1971.87439         412.95342       -1558.92097
       510         -1971.81410         412.89313       -1558.92097
       511         -1971.75120         412.83023       -1558.92097
       512         -1971.68568         412.76471       -1558.92097
       513         -1971.61755         412.69657       -1558.92097
       514         -1971.54683         412.62585       -1558.92097
       515         -1971.47353         412.55255       -1558.92098
       516         -1971.39765         412.47667       -1558.92098
       517         -1971.31920         412.39822       -1558.92098
       518         -1971.23820         412.31721       -1558.92098
       519         -1971.15464         412.23366       -1558.92098
       520         -1971.06853         412.14754       -1558.92099
       521         -1970.97985         412.05887       -1558.92098
       522         -1970.88863         411.96765       -1558.92098
       523         -1970.79485         411.87388       -1558.92098
       524         -1970.69852         411.77754       -1558.92097
       525         -1970.59964         411.67867       -1558.92097
       526         -1970.49822         411.57725       -1558.92097
       527         -1970.39426         411.47329       -1558.92097
       528         -1970.28774         411.36678       -1558.92096
       529         -1970.17867         411.25771       -1558.92096
       530         -1970.06705         411.14610       -1558.92096
       531         -1969.95289         411.03194       -1558.92095
       532         -1969.83619         410.91524       -1558.92095
       533         -1969.71694         410.79599       -1558.92096
       534         -1969.59513         410.67418       -1558.92095
       535         -1969.47078         410.54983       -1558.92095
       536         -1969.34387         410.42293       -1558.92094
       537         -1969.21443         410.29349       -1558.92094
       538         -1969.08246         410.16152       -1558.92094
       539         -1968.94795         410.02702       -1558.92093
       540         -1968.81092         409.88999       -1558.92093
       541         -1968.67135         409.75042       -1558.92093
       542         -1968.52925         409.60832       -1558.92093
       543         -1968.38462         409.46370       -1558.92092
       544         -1968.23752         409.31660       -1558.92092
       545         -1968.08795         409.16703       -1558.92092
       546         -1967.93594         409.01502       -1558.92092
       547         -1967.78152         408.86060       -1558.92092
       548         -1967.62473         408.70382       -1558.92091
       549         -1967.46562         408.54471       -1558.92091
       550         -1967.30424         408.38333       -1558.92091
       551         -1967.14062         408.21972       -1558.92090
       552         -1966.97484         408.05393       -1558.92090
       553         -1966.80693         407.88603       -1558.92090
       554         -1966.63696         407.71606       -1558.92090
       555         -1966.46501         407.54411       -1558.92090
       556         -1966.29114         407.37025       -1558.92089
       557         -1966.11543         407.19453       -1558.92090
       558         -1965.93795         407.01705       -1558.92089
       559         -1965.75879         406.83790       -1558.92089
       560         -1965.57804         406.65715       -1558.92088
       561         -1965.39577         406.47490       -1558.92088
       562         -1965.21212         406.29125       -1558.92087
       563         -1965.02719         406.10632       -1558.92087
       564         -1964.84110         405.92025       -1558.92085
       565         -1964.65398         405.73313       -1558.92085
       566         -1964.46594         405.54510       -1558.92084
       567         -1964.27710         405.35627       -1558.92083
       568         -1964.08759         405.16677       -1558.92082
       569         -1963.89754         404.97673       -1558.92081
       570         -1963.70711         404.78630       -1558.92081
       571         -1963.51641         404.59561       -1558.92080
       572         -1963.32559         404.40480       -1558.92079
       573         -1963.13482         404.21404       -1558.92077
       574         -1962.94423         404.02347       -1558.92076
       575         -1962.75399         403.83324       -1558.92075
       576         -1962.56426         403.64351       -1558.92075
       577         -1962.37518         403.45444       -1558.92074
       578         -1962.18691         403.26618       -1558.92074
       579         -1961.99963         403.07890       -1558.92073
       580         -1961.81351         402.89279       -1558.92071
       581         -1961.62870         402.70801       -1558.92070
       582         -1961.44539         402.52470       -1558.92069
       583         -1961.26372         402.34304       -1558.92068
       584         -1961.08389         402.16323       -1558.92066
       585         -1960.90609         401.98543       -1558.92066
       586         -1960.73046         401.80981       -1558.92065
       587         -1960.55720         401.63655       -1558.92065
       588         -1960.38646         401.46584       -1558.92063
       589         -1960.21846         401.29785       -1558.92061
       590         -1960.05336         401.13275       -1558.92060
       591         -1959.89131         400.97072       -1558.92059
       592         -1959.73248         400.81189       -1558.92059
       593         -1959.57703         400.65645       -1558.92058
       594         -1959.42514         400.50456       -1558.92058
       595         -1959.27696         400.35640       -1558.92056
       596         -1959.13269         400.21213       -1558.92055
       597         -1958.99246         400.07191       -1558.92055
       598         -1958.85643         399.93590       -1558.92054
       599         -1958.72477         399.80424       -1558.92053
       600         -1958.59761         399.67709       -1558.92052
Time (in sec):        13.42
