                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         42.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -2105.83958
        Step              PE              KE                TE 
       194         -2105.04203         404.34129       -1700.70074
       195         -2105.12943         404.42869       -1700.70074
       196         -2105.21596         404.51521       -1700.70075
       197         -2105.30154         404.60078       -1700.70076
       198         -2105.38609         404.68533       -1700.70077
       199         -2105.46951         404.76874       -1700.70077
       200         -2105.55171         404.85094       -1700.70077
       201         -2105.63260         404.93183       -1700.70078
       202         -2105.71210         405.01133       -1700.70078
       203         -2105.79012         405.08934       -1700.70078
       204         -2105.86656         405.16577       -1700.70079
       205         -2105.94134         405.24054       -1700.70080
       206         -2106.01437         405.31357       -1700.70081
       207         -2106.08557         405.38476       -1700.70081
       208         -2106.15486         405.45404       -1700.70081
       209         -2106.22213         405.52131       -1700.70082
       210         -2106.28730         405.58648       -1700.70082
       211         -2106.35028         405.64946       -1700.70082
       212         -2106.41101         405.71018       -1700.70083
       213         -2106.46939         405.76856       -1700.70083
       214         -2106.52534         405.82451       -1700.70083
       215         -2106.57879         405.87796       -1700.70083
       216         -2106.62969         405.92885       -1700.70084
       217         -2106.67792         405.97708       -1700.70084
       218         -2106.72343         406.02258       -1700.70085
       219         -2106.76610         406.06524       -1700.70086
       220         -2106.80587         406.10500       -1700.70087
       221         -2106.84266         406.14178       -1700.70088
       222         -2106.87639         406.17551       -1700.70088
       223         -2106.90698         406.20609       -1700.70089
       224         -2106.93434         406.23345       -1700.70089
       225         -2106.95844         406.25754       -1700.70089
       226         -2106.97918         406.27828       -1700.70090
       227         -2106.99652         406.29562       -1700.70090
       228         -2107.01037         406.30946       -1700.70091
       229         -2107.02067         406.31976       -1700.70091
       230         -2107.02740         406.32648       -1700.70091
       231         -2107.03045         406.32954       -1700.70092
       232         -2107.02977         406.32886       -1700.70091
       233         -2107.02530         406.32438       -1700.70092
       234         -2107.01697         406.31606       -1700.70092
       235         -2107.00476         406.30384       -1700.70092
       236         -2106.98859         406.28766       -1700.70093
       237         -2106.96843         406.26750       -1700.70093
       238         -2106.94423         406.24330       -1700.70094
       239         -2106.91598         406.21505       -1700.70093
       240         -2106.88364         406.18271       -1700.70093
       241         -2106.84717         406.14623       -1700.70094
       242         -2106.80651         406.10557       -1700.70094
       243         -2106.76165         406.06071       -1700.70094
       244         -2106.71256         406.01161       -1700.70094
       245         -2106.65919         405.95825       -1700.70094
       246         -2106.60156         405.90062       -1700.70094
       247         -2106.53963         405.83868       -1700.70095
       248         -2106.47339         405.77245       -1700.70095
       249         -2106.40287         405.70191       -1700.70095
       250         -2106.32805         405.62710       -1700.70095
       251         -2106.24894         405.54798       -1700.70096
       252         -2106.16554         405.46457       -1700.70097
       253         -2106.07784         405.37688       -1700.70096
       254         -2105.98588         405.28492       -1700.70096
       255         -2105.88968         405.18873       -1700.70095
       256         -2105.78928         405.08832       -1700.70096
       257         -2105.68468         404.98372       -1700.70096
       258         -2105.57594         404.87498       -1700.70096
       259         -2105.46311         404.76215       -1700.70096
       260         -2105.34624         404.64529       -1700.70096
       261         -2105.22540         404.52446       -1700.70095
       262         -2105.10064         404.39971       -1700.70094
       263         -2104.97204         404.27111       -1700.70093
       264         -2104.83969         404.13876       -1700.70093
       265         -2104.70365         404.00273       -1700.70092
       266         -2104.56401         403.86309       -1700.70092
       267         -2104.42088         403.71996       -1700.70092
       268         -2104.27434         403.57343       -1700.70091
       269         -2104.12450         403.42360       -1700.70090
       270         -2103.97149         403.27059       -1700.70089
       271         -2103.81544         403.11455       -1700.70089
       272         -2103.65647         402.95559       -1700.70088
       273         -2103.49472         402.79386       -1700.70087
       274         -2103.33034         402.62949       -1700.70085
       275         -2103.16348         402.46264       -1700.70084
       276         -2102.99429         402.29346       -1700.70082
       277         -2102.82292         402.12211       -1700.70081
       278         -2102.64955         401.94875       -1700.70080
       279         -2102.47435         401.77356       -1700.70080
       280         -2102.29749         401.59671       -1700.70078
       281         -2102.11915         401.41839       -1700.70076
       282         -2101.93952         401.23877       -1700.70075
       283         -2101.75877         401.05803       -1700.70074
       284         -2101.57711         400.87638       -1700.70073
       285         -2101.39473         400.69401       -1700.70072
       286         -2101.21184         400.51113       -1700.70071
       287         -2101.02864         400.32795       -1700.70070
       288         -2100.84533         400.14464       -1700.70069
       289         -2100.66209         399.96141       -1700.70068
       290         -2100.47915         399.77847       -1700.70067
       291         -2100.29670         399.59604       -1700.70066
       292         -2100.11497         399.41432       -1700.70064
       293         -2099.93416         399.23353       -1700.70063
       294         -2099.75447         399.05385       -1700.70063
       295         -2099.57609         398.87548       -1700.70061
       296         -2099.39923         398.69863       -1700.70060
       297         -2099.22408         398.52349       -1700.70059
       298         -2099.05085         398.35027       -1700.70058
       299         -2098.87972         398.17915       -1700.70057
       300         -2098.71086         398.01030       -1700.70056
       301         -2098.54446         397.84391       -1700.70055
       302         -2098.38071         397.68017       -1700.70054
       303         -2098.21977         397.51924       -1700.70053
       304         -2098.06182         397.36130       -1700.70052
       305         -2097.90701         397.20650       -1700.70051
       306         -2097.75551         397.05501       -1700.70050
       307         -2097.60747         396.90697       -1700.70050
       308         -2097.46300         396.76252       -1700.70049
       309         -2097.32224         396.62176       -1700.70048
       310         -2097.18532         396.48484       -1700.70047
       311         -2097.05236         396.35189       -1700.70047
       312         -2096.92345         396.22300       -1700.70046
       313         -2096.79870         396.09825       -1700.70045
       314         -2096.67820         395.97775       -1700.70044
       315         -2096.56201         395.86157       -1700.70044
       316         -2096.45021         395.74978       -1700.70043
       317         -2096.34286         395.64242       -1700.70044
       318         -2096.24000         395.53956       -1700.70044
       319         -2096.14167         395.44123       -1700.70043
       320         -2096.04791         395.34747       -1700.70043
       321         -2095.95873         395.25830       -1700.70043
       322         -2095.87414         395.17371       -1700.70043
       323         -2095.79412         395.09369       -1700.70043
       324         -2095.71866         395.01823       -1700.70043
       325         -2095.64776         394.94733       -1700.70043
       326         -2095.58139         394.88097       -1700.70043
       327         -2095.51954         394.81911       -1700.70043
       328         -2095.46214         394.76170       -1700.70043
       329         -2095.40915         394.70871       -1700.70044
       330         -2095.36052         394.66008       -1700.70044
       331         -2095.31617         394.61572       -1700.70045
       332         -2095.27602         394.57556       -1700.70046
       333         -2095.23999         394.53952       -1700.70047
       334         -2095.20801         394.50753       -1700.70048
       335         -2095.17997         394.47949       -1700.70048
       336         -2095.15576         394.45528       -1700.70048
       337         -2095.13529         394.43480       -1700.70049
       338         -2095.11843         394.41793       -1700.70050
       339         -2095.10506         394.40455       -1700.70051
       340         -2095.09508         394.39455       -1700.70053
       341         -2095.08836         394.38782       -1700.70054
       342         -2095.08476         394.38421       -1700.70055
       343         -2095.08415         394.38359       -1700.70056
       344         -2095.08639         394.38582       -1700.70057
       345         -2095.09135         394.39076       -1700.70059
       346         -2095.09887         394.39827       -1700.70060
       347         -2095.10878         394.40817       -1700.70061
       348         -2095.12092         394.42031       -1700.70062
       349         -2095.13515         394.43452       -1700.70063
       350         -2095.15132         394.45068       -1700.70064
       351         -2095.16930         394.46865       -1700.70065
       352         -2095.18892         394.48826       -1700.70066
       353         -2095.21003         394.50936       -1700.70067
       354         -2095.23249         394.53181       -1700.70068
       355         -2095.25616         394.55547       -1700.70069
       356         -2095.28083         394.58014       -1700.70070
       357         -2095.30637         394.60566       -1700.70070
       358         -2095.33261         394.63190       -1700.70071
       359         -2095.35940         394.65868       -1700.70072
       360         -2095.38660         394.68587       -1700.70073
       361         -2095.41407         394.71333       -1700.70074
       362         -2095.44166         394.74090       -1700.70075
       363         -2095.46920         394.76845       -1700.70076
