                               No. of Molecules =    12800
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         84.6420
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en      -16846.98347
        Step              PE              KE                TE 
       412        -16759.04257        3154.94430      -13604.09827
       413        -16759.09077        3154.99251      -13604.09826
       414        -16759.13893        3155.04067      -13604.09825
       415        -16759.18709        3155.08883      -13604.09826
       416        -16759.23527        3155.13701      -13604.09826
       417        -16759.28354        3155.18529      -13604.09825
       418        -16759.33199        3155.23374      -13604.09825
       419        -16759.38068        3155.28244      -13604.09824
       420        -16759.42966        3155.33143      -13604.09823
       421        -16759.47898        3155.38077      -13604.09822
       422        -16759.52875        3155.43055      -13604.09820
       423        -16759.57901        3155.48084      -13604.09817
       424        -16759.62981        3155.53166      -13604.09815
       425        -16759.68122        3155.58305      -13604.09816
       426        -16759.73328        3155.63511      -13604.09817
       427        -16759.78608        3155.68791      -13604.09817
       428        -16759.83970        3155.74153      -13604.09817
       429        -16759.89421        3155.79606      -13604.09815
       430        -16759.94969        3155.85154      -13604.09816
       431        -16760.00616        3155.90800      -13604.09816
       432        -16760.06372        3155.96556      -13604.09816
       433        -16760.12240        3156.02426      -13604.09814
       434        -16760.18224        3156.08413      -13604.09811
       435        -16760.24334        3156.14524      -13604.09810
       436        -16760.30575        3156.20766      -13604.09809
       437        -16760.36951        3156.27143      -13604.09808
       438        -16760.43468        3156.33660      -13604.09808
       439        -16760.50129        3156.40322      -13604.09807
       440        -16760.56940        3156.47132      -13604.09808
       441        -16760.63900        3156.54093      -13604.09807
       442        -16760.71019        3156.61212      -13604.09807
       443        -16760.78295        3156.68489      -13604.09806
       444        -16760.85731        3156.75926      -13604.09805
       445        -16760.93333        3156.83529      -13604.09804
       446        -16761.01100        3156.91298      -13604.09803
       447        -16761.09035        3156.99232      -13604.09803
       448        -16761.17135        3157.07333      -13604.09801
       449        -16761.25407        3157.15605      -13604.09802
       450        -16761.33848        3157.24048      -13604.09801
       451        -16761.42462        3157.32664      -13604.09797
       452        -16761.51255        3157.41456      -13604.09799
       453        -16761.60222        3157.50422      -13604.09799
       454        -16761.69365        3157.59565      -13604.09800
       455        -16761.78687        3157.68886      -13604.09801
