                               No. of Molecules =     5400
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         63.4818
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -7107.20830
        Step              PE              KE                TE 
       271         -7082.20402        1342.94084       -5739.26318
       272         -7082.16760        1342.90441       -5739.26318
       273         -7082.12962        1342.86643       -5739.26320
       274         -7082.08993        1342.82673       -5739.26320
       275         -7082.04833        1342.78513       -5739.26321
       276         -7082.00466        1342.74144       -5739.26322
       277         -7081.95878        1342.69555       -5739.26323
       278         -7081.91058        1342.64733       -5739.26325
       279         -7081.85994        1342.59668       -5739.26326
       280         -7081.80675        1342.54349       -5739.26326
       281         -7081.75093        1342.48766       -5739.26328
       282         -7081.69235        1342.42907       -5739.26327
       283         -7081.63095        1342.36768       -5739.26327
       284         -7081.56670        1342.30343       -5739.26327
       285         -7081.49957        1342.23629       -5739.26328
       286         -7081.42953        1342.16625       -5739.26328
       287         -7081.35653        1342.09325       -5739.26329
       288         -7081.28054        1342.01727       -5739.26327
       289         -7081.20156        1341.93830       -5739.26326
       290         -7081.11964        1341.85639       -5739.26325
       291         -7081.03481        1341.77156       -5739.26324
       292         -7080.94709        1341.68385       -5739.26324
       293         -7080.85654        1341.59330       -5739.26324
       294         -7080.76326        1341.50003       -5739.26323
       295         -7080.66735        1341.40413       -5739.26322
       296         -7080.56892        1341.30570       -5739.26322
       297         -7080.46805        1341.20483       -5739.26322
       298         -7080.36487        1341.10166       -5739.26320
       299         -7080.25951        1340.99631       -5739.26320
       300         -7080.15208        1340.88889       -5739.26319
       301         -7080.04275        1340.77959       -5739.26317
       302         -7079.93172        1340.66856       -5739.26316
       303         -7079.81911        1340.55595       -5739.26316
       304         -7079.70510        1340.44196       -5739.26315
       305         -7079.58990        1340.32678       -5739.26312
       306         -7079.47368        1340.21057       -5739.26311
       307         -7079.35664        1340.09354       -5739.26310
       308         -7079.23897        1339.97589       -5739.26308
       309         -7079.12085        1339.85779       -5739.26306
       310         -7079.00255        1339.73949       -5739.26306
       311         -7078.88426        1339.62122       -5739.26305
       312         -7078.76619        1339.50315       -5739.26304
       313         -7078.64854        1339.38551       -5739.26303
       314         -7078.53156        1339.26855       -5739.26301
       315         -7078.41548        1339.15248       -5739.26300
       316         -7078.30050        1339.03753       -5739.26296
       317         -7078.18686        1338.92392       -5739.26294
       318         -7078.07480        1338.81187       -5739.26292
       319         -7077.96450        1338.70160       -5739.26290
       320         -7077.85620        1338.59331       -5739.26289
       321         -7077.75008        1338.48721       -5739.26287
       322         -7077.64636        1338.38350       -5739.26286
       323         -7077.54523        1338.28239       -5739.26284
       324         -7077.44687        1338.18405       -5739.26282
       325         -7077.35150        1338.08868       -5739.26282
       326         -7077.25925        1337.99644       -5739.26281
       327         -7077.17031        1337.90751       -5739.26280
       328         -7077.08482        1337.82204       -5739.26278
       329         -7077.00297        1337.74019       -5739.26277
       330         -7076.92487        1337.66211       -5739.26276
       331         -7076.85070        1337.58795       -5739.26275
       332         -7076.78053        1337.51780       -5739.26273
       333         -7076.71449        1337.45178       -5739.26271
       334         -7076.65268        1337.38998       -5739.26270
       335         -7076.59519        1337.33248       -5739.26270
       336         -7076.54206        1337.27937       -5739.26269
       337         -7076.49339        1337.23072       -5739.26267
       338         -7076.44920        1337.18653       -5739.26267
       339         -7076.40950        1337.14683       -5739.26267
       340         -7076.37432        1337.11165       -5739.26267
       341         -7076.34365        1337.08098       -5739.26267
       342         -7076.31748        1337.05480       -5739.26267
       343         -7076.29577        1337.03310       -5739.26268
       344         -7076.27849        1337.01580       -5739.26269
       345         -7076.26554        1337.00285       -5739.26269
       346         -7076.25687        1336.99418       -5739.26269
       347         -7076.25241        1336.98972       -5739.26269
